"rho","r2","N","k","model",".Rep","er2","aer2","bias","rmse","abias","armse","power","n_ok","n_fail","model_label","power_adjr2","power_gap"
0.3,0.25,75,3,"gaussian",5000,0.275880863303189,0.245284280062479,0.0258808633031893,0.0891779109767147,-0.00471571993752099,0.0890706237120666,0.9844,5000,0,"Gaussian",0.988684248428681,0.00428424842868047
0.3,0.275,75,3,"gaussian",5000,0.301124791899289,0.271594853528836,0.0261247918992889,0.087990661873512,-0.0034051464711636,0.0876393657070298,0.994,5000,0,"Gaussian",0.995478064360292,0.00147806436029185
0.3,0.3,75,3,"gaussian",5000,0.324874104342134,0.296347658046731,0.0248741043421336,0.0906896184183698,-0.00365234195326914,0.0909700807024059,0.9978,5000,0,"Gaussian",0.998272759680186,0.00047275968018623
0.3,0.325,75,3,"gaussian",5000,0.343518693018391,0.31578004624452,0.0185186930183908,0.0896914758743673,-0.00921995375548002,0.0919305041492468,0.9974,5000,0,"Gaussian",0.99924620888331,0.00184620888330966
0.3,0.35,75,3,"gaussian",5000,0.3723325264881,0.345811365635485,0.0223325264881003,0.0909584214229047,-0.00418863436451516,0.0919952947464169,1,5000,0,"Gaussian",0.99981813056127,0.000181869438730442
0.3,0.375,75,3,"gaussian",5000,0.393196967425718,0.367557402669058,0.0181969674257182,0.0897295856472042,-0.00744259733094158,0.0918796045007224,0.9998,5000,0,"Gaussian",0.999942249436561,0.000142249436560715
0.3,0.4,75,3,"gaussian",5000,0.417900703871891,0.39330495896507,0.0179007038718914,0.0881437561996653,-0.00669504103493003,0.0902025079910979,1,5000,0,"Gaussian",0.999987133816766,1.28661832343724e-05
0.3,0.025,100,3,"gaussian",5000,0.0545051874640547,0.0249584745723064,0.0295051874640547,0.0481986900839007,-4.15254276935907e-05,0.0393034696763795,0.2296,5000,0,"Gaussian",0.229559910753116,4.0089246884395e-05
0.3,0.05,100,3,"gaussian",5000,0.0789048481403695,0.0501206246447561,0.0289048481403695,0.054874669539962,0.000120624644756065,0.048102620521929,0.447,5000,0,"Gaussian",0.445846449805061,0.00115355019493874
0.3,0.075,100,3,"gaussian",5000,0.101563164840747,0.0734870137420199,0.0265631648407466,0.0593729731986598,-0.00151298625798007,0.0547796730213258,0.6358,5000,0,"Gaussian",0.630166828379023,0.00563317162097676
0.3,0.1,100,3,"gaussian",5000,0.12742961133551,0.100161786689744,0.0274296113355095,0.0643851724192428,0.00016178668974416,0.06007056886951,0.7912,5000,0,"Gaussian",0.79117803067239,2.19693276097832e-05
0.3,0.125,100,3,"gaussian",5000,0.149101104120707,0.122510513624479,0.0241011041207072,0.0670402126042063,-0.00248948637552067,0.0645611466950514,0.8826,5000,0,"Gaussian",0.881546751365918,0.00105324863408163
0.3,0.15,100,3,"gaussian",5000,0.174922881048606,0.149139221081375,0.0249228810486061,0.0705305451049869,-0.000860778918624986,0.068047689859785,0.9436,5000,0,"Gaussian",0.945719675256118,0.00211967525611767
0.3,0.175,100,3,"gaussian",5000,0.198096581105731,0.173037099265285,0.0230965811057305,0.0736313729704003,-0.00196290073471542,0.0721267045326991,0.9678,5000,0,"Gaussian",0.975592966986405,0.00779296698640519
0.3,0.2,100,3,"gaussian",5000,0.221215851948021,0.196878847321397,0.0212158519480209,0.0741809998196185,-0.00312115267860349,0.0733701472836983,0.9868,5000,0,"Gaussian",0.990018730238317,0.0032187302383172
0.3,0.225,100,3,"gaussian",5000,0.243669324229738,0.220033990611917,0.0186693242297375,0.0757973940121257,-0.00496600938808317,0.0759205279661062,0.9934,5000,0,"Gaussian",0.996199058700703,0.00279905870070352
0.3,0.25,100,3,"gaussian",5000,0.267511734554232,0.244621476259052,0.017511734554232,0.0760604513132508,-0.00537852374094826,0.0765193979704906,0.9974,5000,0,"Gaussian",0.998779880260078,0.00137988026007851
0.3,0.275,100,3,"gaussian",5000,0.292975006702537,0.270880475661991,0.0179750067025371,0.0784239518521211,-0.00411952433800862,0.0788294198811676,0.9994,5000,0,"Gaussian",0.999683483327112,0.000283483327111922
0.3,0.3,100,3,"gaussian",5000,0.316984970496419,0.295640750824432,0.0169849704964189,0.0789002069012093,-0.00435924917556805,0.0795776424605244,0.9992,5000,0,"Gaussian",0.999922863553848,0.000722863553847541
0.3,0.325,100,3,"gaussian",5000,0.340724023798258,0.320121649541953,0.0157240237982575,0.0756936974690989,-0.00487835045804697,0.0765120003467049,0.9998,5000,0,"Gaussian",0.999983489287732,0.000183489287731931
0.3,0.35,100,3,"gaussian",5000,0.365702663786682,0.345880872030016,0.0157026637866823,0.077678267557072,-0.00411912796998392,0.0785599595199378,1,5000,0,"Gaussian",0.999997255720212,2.74427978841363e-06
0.3,0.375,100,3,"gaussian",5000,0.387377445817491,0.368232990999288,0.0123774458174913,0.0760804685678319,-0.00676700900071208,0.0777079255417293,1,5000,0,"Gaussian",0.99999950644597,4.93554029645793e-07
0.3,0.4,100,3,"gaussian",5000,0.411593598551043,0.393205898505763,0.0115935985510428,0.0753568394471115,-0.00679410149423715,0.077086515977333,1,5000,0,"Gaussian",0.999999940218232,5.97817678693602e-08
0.3,0.025,25,3,"logistic",5000,0.12742862156584,0.038045113721764,0.10242862156584,0.143685555804222,0.013045113721764,0.101550504700305,0.136081648989394,4997,3,"Logistic",0.139122981918491,0.00304133292909756
0.3,0.05,25,3,"logistic",5000,0.155866515444609,0.0664587525550391,0.105866515444609,0.157091532631497,0.0164587525550391,0.117144095249232,0.214657589106928,4994,6,"Logistic",0.216829763558677,0.00217217445174914
0.3,0.075,25,3,"logistic",5000,0.179942066190797,0.0905602977951865,0.104942066190797,0.163303419417701,0.0155602977951865,0.125971890313892,0.281018240128282,4989,11,"Logistic",0.286263858435134,0.00524561830685161
0.3,0.1,25,3,"logistic",5000,0.205688445164881,0.116332529157508,0.105688445164881,0.1723187305882,0.0163325291575076,0.137030516833374,0.347529128163921,4978,22,"Logistic",0.361183602361413,0.0136544741974914
0.3,0.125,25,3,"logistic",5000,0.232993928704877,0.143645112359201,0.107993928704877,0.179213858879911,0.0186451123592015,0.144116858364238,0.430150753768844,4975,25,"Logistic",0.438774305139547,0.00862355137070259
0.3,0.15,25,3,"logistic",5000,0.25970548234946,0.170359500405726,0.10970548234946,0.183276006472961,0.020359500405726,0.148137964904179,0.520976200080678,4958,42,"Logistic",0.510890125194468,0.0100860748862095
0.3,0.175,25,3,"logistic",5000,0.281109235393388,0.19170102436194,0.106109235393387,0.18404138372032,0.0167010243619399,0.151306473195665,0.575162074554295,4936,64,"Logistic",0.564890110578468,0.010271963975827
0.3,0.2,25,3,"logistic",5000,0.304640501820508,0.215346217834576,0.104640501820508,0.186945957455171,0.0153462178345756,0.155692757722166,0.633794225294835,4918,82,"Logistic",0.62039057279197,0.0134036525028657
0.3,0.225,25,3,"logistic",5000,0.325940261267992,0.236601973828522,0.100940261267992,0.188065037166112,0.0116019738285218,0.159153800891645,0.689725747032337,4886,114,"Logistic",0.666133476376778,0.0235922706555589
0.3,0.25,25,3,"logistic",5000,0.347712627324559,0.258461680455416,0.0977126273245587,0.184065180825163,0.00846168045541609,0.156162760246105,0.746435213887167,4839,161,"Logistic",0.708981071566028,0.0374541423211388
0.3,0.275,25,3,"logistic",5000,0.375423010432153,0.286132001578274,0.100423010432153,0.187657751289884,0.0111320015782739,0.159085984314252,0.795287187039764,4753,247,"Logistic",0.757181539092836,0.0381056479469287
0.3,0.3,25,3,"logistic",5000,0.395304834584914,0.305829877072551,0.0953048345849136,0.187053691670626,0.00582987707255083,0.16120664227058,0.830256736685763,4713,287,"Logistic",0.787529298554386,0.0427274381313772
0.3,0.325,25,3,"logistic",5000,0.417307819344743,0.328002818398983,0.0923078193447428,0.184336564114818,0.00300281839898265,0.159735737463997,0.86955579631636,4615,385,"Logistic",0.81796337847749,0.0515924178388699
0.3,0.35,25,3,"logistic",5000,0.439798538544109,0.35045445950959,0.0897985385441092,0.179886039205479,0.000454459509590237,0.155977661222429,0.901697156711483,4537,463,"Logistic",0.845024766023262,0.0566723906882214
0.3,0.375,25,3,"logistic",5000,0.457012379592649,0.367670969078885,0.0820123795926493,0.175591427094571,-0.00732903092111514,0.155540669894415,0.923076923076923,4498,502,"Logistic",0.863407914896387,0.0596690081805359
0.3,0.4,25,3,"logistic",5000,0.47492085351256,0.385661521300836,0.07492085351256,0.170738908345392,-0.0143384786991642,0.154388624548115,0.938356164383562,4380,620,"Logistic",0.880593763407358,0.0577624009762037
0.3,0.025,50,3,"logistic",5000,0.0721900042995888,0.0282502313788156,0.0471900042995888,0.0714068305681049,0.00325023137881558,0.0537000966665408,0.1836,5000,0,"Logistic",0.18888369720271,0.00528369720271007
0.3,0.05,50,3,"logistic",5000,0.0962119397957944,0.0522741340252435,0.0462119397957944,0.0783382343506101,0.00227413402524353,0.0633188133957139,0.3244,5000,0,"Logistic",0.326998458116194,0.00259845811619436
0.3,0.075,50,3,"logistic",5000,0.123126319690443,0.0792035304596885,0.0481263196904425,0.0884482943202194,0.00420353045968852,0.0743151824274435,0.4848,5000,0,"Logistic",0.479186886290084,0.00561311370991618
0.3,0.1,50,3,"logistic",5000,0.147506719312314,0.10357946082545,0.0475067193123142,0.0954770632485749,0.00357946082545006,0.0829046691963748,0.6102,5000,0,"Logistic",0.601712263872239,0.00848773612776055
0.3,0.125,50,3,"logistic",5000,0.174309297628623,0.130367309962165,0.0493092976286233,0.102477304574212,0.00536730996216455,0.0900300313878582,0.7218,5000,0,"Logistic",0.71319253917672,0.00860746082327957
0.3,0.15,50,3,"logistic",5000,0.200533910036868,0.156599326114499,0.0505339100368681,0.106951203552465,0.00659932611449885,0.0944889206618577,0.8104,5000,0,"Logistic",0.798069915154154,0.0123300848458461
0.3,0.175,50,3,"logistic",5000,0.225177274523113,0.181215807737744,0.0501772745231126,0.111006673213878,0.00621580773774443,0.0992338288872699,0.878375675135027,4999,1,"Logistic",0.858020981391647,0.0203546937433799
0.3,0.2,50,3,"logistic",5000,0.250989191082392,0.207023982848332,0.0509891910823923,0.116506974072361,0.00702398284833188,0.10497696431304,0.923584716943389,4999,1,"Logistic",0.903902036459592,0.0196826804837967
0.3,0.225,50,3,"logistic",5000,0.27499906547577,0.23107118745586,0.04999906547577,0.118444709602415,0.0060711874558598,0.107533789563597,0.952790558111622,4999,1,"Logistic",0.934343726486042,0.0184468316255806
0.3,0.25,50,3,"logistic",5000,0.299490115173201,0.255543292919885,0.0494901151732013,0.120263293173483,0.00554329291988476,0.10975804297744,0.97358943577431,4998,2,"Logistic",0.956121815745127,0.0174676200291831
0.3,0.275,50,3,"logistic",5000,0.325651842302683,0.281717001605265,0.0506518423026833,0.12596857949473,0.00671700160526467,0.11552821609424,0.97999199679872,4998,2,"Logistic",0.971924783646374,0.00806721315234582
0.3,0.3,50,3,"logistic",5000,0.354869121559063,0.310907001854717,0.0548691215590632,0.129255611245845,0.0109070018547173,0.117547117460666,0.99439663798279,4997,3,"Logistic",0.98322602665565,0.01117061132714
0.3,0.325,50,3,"logistic",5000,0.376137361271114,0.332190194806537,0.0511373612711135,0.126570180741237,0.00719019480653727,0.115989806544486,0.997396876251502,4994,6,"Logistic",0.98859635165148,0.00880052460002223
0.3,0.35,50,3,"logistic",5000,0.401058123707142,0.357092945232774,0.0510581237071421,0.128651543035974,0.00709294523277377,0.118294573323784,0.997798238590873,4996,4,"Logistic",0.992813305414164,0.00498493317670901
0.3,0.375,50,3,"logistic",5000,0.427906160366127,0.383976826134749,0.0529061603661266,0.130463860544029,0.00897682613474931,0.119588354415749,0.999397953040337,4983,17,"Logistic",0.995683686587831,0.00371426645250605
0.3,0.4,50,3,"logistic",5000,0.449846532119798,0.405896853277631,0.049846532119798,0.130562466134443,0.00589685327763104,0.120844232182874,0.999799116110888,4978,22,"Logistic",0.997174788193677,0.0026243279172109
0.3,0.025,75,3,"logistic",5000,0.0555918663617132,0.0264430835074579,0.0305918663617132,0.049655176038082,0.00144308350745787,0.0391459931294489,0.2462,5000,0,"Logistic",0.253690528726746,0.00749052872674602
0.3,0.05,75,3,"logistic",5000,0.0812007618356648,0.0520526390120544,0.0312007618356648,0.0593169599112927,0.00205263901205443,0.0504906314375333,0.4744,5000,0,"Logistic",0.473114665189559,0.0012853348104413
0.3,0.075,75,3,"logistic",5000,0.106374605504971,0.0772303178406971,0.0313746055049708,0.0652274922558549,0.00223031784069712,0.0572275291692686,0.669,5000,0,"Logistic",0.655921047147229,0.0130789528527715
0.3,0.1,75,3,"logistic",5000,0.132076139402635,0.102931085079642,0.032076139402635,0.0712361969626104,0.00293108507964214,0.0636803741994329,0.806,5000,0,"Logistic",0.791820293890977,0.0141797061090235
0.3,0.125,75,3,"logistic",5000,0.156490869122272,0.12735134993918,0.0314908691222719,0.0758950658485204,0.00235134993918031,0.069099833315562,0.8902,5000,0,"Logistic",0.877305614368893,0.0128943856311068
0.3,0.15,75,3,"logistic",5000,0.180992779548342,0.15184729220378,0.0309927795483425,0.0796427785397624,0.00184729220378041,0.0733923329334624,0.942,5000,0,"Logistic",0.930756276920272,0.011243723079728
0.3,0.175,75,3,"logistic",5000,0.206746382854307,0.177604161105938,0.0317463828543066,0.0848277227816747,0.00260416110593782,0.0787145594392866,0.974,5000,0,"Logistic",0.963476793887005,0.0105232061129947
0.3,0.2,75,3,"logistic",5000,0.233059605857623,0.203916829603865,0.0330596058576227,0.0883530113416317,0.00391682960386541,0.0820203720788246,0.9902,5000,0,"Logistic",0.981646481025339,0.00855351897466061
0.3,0.225,75,3,"logistic",5000,0.258117173850802,0.228976775592716,0.0331171738508018,0.0910871768795613,0.00397677559271587,0.0849458659039515,0.9956,5000,0,"Logistic",0.990735359023578,0.00486464097642214
0.3,0.25,75,3,"logistic",5000,0.282917271232904,0.253775218747433,0.0329172712329039,0.0914698894752971,0.00377521874743271,0.0854226713411186,0.9992,5000,0,"Logistic",0.995400917458583,0.00379908254141692
0.3,0.275,75,3,"logistic",5000,0.307000692589465,0.277853688262776,0.032000692589465,0.0945171570297204,0.0028536882627762,0.0889868575464755,0.9998,5000,0,"Logistic",0.997716765750865,0.00208323424913548
0.3,0.3,75,3,"logistic",5000,0.333933512585651,0.304786977343103,0.0339335125856512,0.0970130435195749,0.00478697734310288,0.0910226158295042,1,5000,0,"Logistic",0.998978661853879,0.00102133814612093
0.3,0.325,75,3,"logistic",5000,0.360944998347209,0.331799816706855,0.0359449983472094,0.09982142393729,0.00679981670685495,0.0933777362961988,0.9998,5000,0,"Logistic",0.999553349689701,0.000246650310298802
0.3,0.35,75,3,"logistic",5000,0.383603774723705,0.354459135804452,0.0336037747237048,0.101059033079041,0.00445913580445213,0.0954127484250236,1,5000,0,"Logistic",0.999779964056494,0.000220035943506391
0.3,0.375,75,3,"logistic",5000,0.406294334972003,0.377157813316384,0.0312943349720025,0.101117117253837,0.00215781331638435,0.096173196658411,1,4999,1,"Logistic",0.999893017546334,0.000106982453665694
0.3,0.4,75,3,"logistic",5000,0.43112616556894,0.401997062038292,0.0311261655689403,0.100894788774052,0.0019970620382923,0.095995703152553,1,4998,2,"Logistic",0.999952014132911,4.79858670892064e-05
0.3,0.025,100,3,"logistic",5000,0.0474158704469104,0.0256140697119081,0.0224158704469104,0.0396899844071786,0.000614069711908121,0.0327568175245382,0.3168,5000,0,"Logistic",0.320909184210223,0.0041091842102231
0.3,0.05,100,3,"logistic",5000,0.0732049934265164,0.0514090835802189,0.0232049934265164,0.0472901193588979,0.00140908358021887,0.0412296911089354,0.6,5000,0,"Logistic",0.598174884046918,0.00182511595308188
0.3,0.075,100,3,"logistic",5000,0.0988267383885194,0.0770251275918999,0.0238267383885194,0.0542931804111607,0.00202512759189987,0.0488301528803186,0.8024,5000,0,"Logistic",0.790823496828871,0.0115765031711286
0.3,0.1,100,3,"logistic",5000,0.123438623275773,0.101638606595801,0.0234386232757734,0.0590017194086676,0.00163860659580103,0.0541726249461706,0.9118,5000,0,"Logistic",0.898173347701944,0.0136266522980562
0.3,0.125,100,3,"logistic",5000,0.147678714434955,0.125879325637833,0.0226787144349552,0.0622007962418805,0.000879325637833153,0.0579236238763399,0.9636,5000,0,"Logistic",0.95325556070747,0.0103444392925305
0.3,0.15,100,3,"logistic",5000,0.172520339658469,0.150713494411327,0.0225203396584689,0.06673750493147,0.000713494411327373,0.0628315311875707,0.986,5000,0,"Logistic",0.980134805834166,0.00586519416583364
0.3,0.175,100,3,"logistic",5000,0.198677292149456,0.176873936200782,0.0236772921494564,0.0702762917445223,0.00187393620078158,0.0661954289593447,0.9956,5000,0,"Logistic",0.992348829148434,0.00325117085156645
0.3,0.2,100,3,"logistic",5000,0.224106439283685,0.202306830298118,0.0241064392836846,0.0729086794481985,0.00230683029811821,0.0688515349614787,0.9984,5000,0,"Logistic",0.997103261598719,0.00129673840128053
0.3,0.225,100,3,"logistic",5000,0.249147492139307,0.227345197816978,0.0241474921393073,0.0759112795623616,0.00234519781697805,0.0720030880298633,0.9994,5000,0,"Logistic",0.998926093886084,0.0004739061139164
0.3,0.25,100,3,"logistic",5000,0.274678846303072,0.252871571809902,0.0246788463030724,0.0772652518983109,0.00287157180990187,0.073272958840405,1,5000,0,"Logistic",0.999621825183488,0.000378174816511589
0.3,0.275,100,3,"logistic",5000,0.298705354643721,0.276903314826298,0.023705354643721,0.0790276158374341,0.00190331482629775,0.0754101518802291,1,5000,0,"Logistic",0.999862084676165,0.000137915323834559
0.3,0.3,100,3,"logistic",5000,0.323920839211075,0.302116843861582,0.0239208392110754,0.0812235411814905,0.00211684386158216,0.077652373351202,1,5000,0,"Logistic",0.999953285737471,4.67142625285577e-05
0.3,0.325,100,3,"logistic",5000,0.348353098207273,0.326545917551052,0.023353098207273,0.0834198078581938,0.00154591755105169,0.0801002718992948,1,5000,0,"Logistic",0.999983980399823,1.6019600177497e-05
0.3,0.35,100,3,"logistic",5000,0.375343134885507,0.353541829608846,0.0253431348855069,0.0841165855227813,0.00354182960884568,0.0802898880070033,1,5000,0,"Logistic",0.999995197752027,4.80224797294593e-06
0.3,0.375,100,3,"logistic",5000,0.3991818015837,0.377381538769528,0.0241818015836997,0.0846269593991889,0.00238153876952758,0.0811334870515096,1,5000,0,"Logistic",0.999998371439891,1.62856010932355e-06
0.3,0.4,100,3,"logistic",5000,0.422676945235238,0.400875840033452,0.0226769452352376,0.0848769062115506,0.000875840033452305,0.0817947051633687,1,5000,0,"Logistic",0.999999447190212,5.52809787501829e-07
0.3,0.025,25,3,"multinomial",5000,0.160548201568762,0.0469701247464451,0.135548201568762,0.162177145557526,0.0219701247464451,0.091601985636451,0.176553958291152,4939,61,"Multinomial",0.239627734448546,0.0630737761573943
0.3,0.05,25,3,"multinomial",5000,0.187191742733679,0.0735202204700156,0.137191742733679,0.167996856011145,0.0235202204700156,0.0996819122376089,0.268416768416768,4914,86,"Multinomial",0.361744785892704,0.0933280174759355
0.3,0.075,25,3,"multinomial",5000,0.212185423618061,0.0984972719987199,0.137185423618061,0.172911392733939,0.0234972719987199,0.107748998783583,0.35501744305356,4873,127,"Multinomial",0.472997084781307,0.117979641727746
