"rho","r2","N","k","model",".Rep","er2","aer2","bias","rmse","abias","armse","power","n_ok","n_fail","model_label","power_adjr2","power_gap"
0.3,0.27,60,3,"gaussian",1000,0.300901501092984,0.263449795794394,0.0309015010929837,0.10191687795201,-0.00655020420560645,0.102531502092803,0.96,1000,0,"Gaussian",0.975053295928621,0.015053295928621
0.3,0.3,60,3,"gaussian",1000,0.327409705201082,0.291378082265426,0.0274097052010822,0.100041688424946,-0.00862191773457412,0.101733859884102,0.988,1000,0,"Gaussian",0.988472216812371,0.000472216812371196
0.3,0.03,90,3,"gaussian",1000,0.0599788096816343,0.0271873728100633,0.0299788096816343,0.0520838423630834,-0.0028126271899367,0.0441664335898768,0.238,1000,0,"Gaussian",0.22511651594857,0.0128834840514302
0.3,0.06,90,3,"gaussian",1000,0.0911614357164396,0.0594577648693386,0.0311614357164396,0.0625810239841191,-0.000542235130661394,0.0561668685631541,0.47,1000,0,"Gaussian",0.475108254930037,0.00510825493003703
0.3,0.09,90,3,"gaussian",1000,0.118829415872445,0.0880909071238098,0.0288294158724454,0.06669335408051,-0.00190909287619024,0.0622675984235844,0.651,1000,0,"Gaussian",0.672502896153085,0.0215028961530848
0.3,0.12,90,3,"gaussian",1000,0.148248493802614,0.118536231958519,0.0282484938026143,0.0714586547279056,-0.00146376804148057,0.0679435844988063,0.827,1000,0,"Gaussian",0.825136928116232,0.00186307188376789
0.3,0.15,90,3,"gaussian",1000,0.174796615558101,0.146010450984546,0.0247966155581007,0.0744500278812859,-0.00398954901545395,0.0727575224244787,0.904,1000,0,"Gaussian",0.911198398377806,0.00719839837780645
0.3,0.18,90,3,"gaussian",1000,0.203688648989872,0.175910346047659,0.0236886489898724,0.0739512295233465,-0.00408965395234141,0.0726135142015009,0.968,1000,0,"Gaussian",0.962444680002226,0.00555531999777348
0.3,0.21,90,3,"gaussian",1000,0.23515367678332,0.208472991089715,0.0251536767833204,0.081829599378543,-0.00152700891028471,0.0805984629097642,0.972,1000,0,"Gaussian",0.987380870332151,0.0153808703321509
0.3,0.24,90,3,"gaussian",1000,0.260543380468878,0.234748382113141,0.020543380468878,0.0777443375240294,-0.00525161788685884,0.0777741319897285,0.996,1000,0,"Gaussian",0.99537888282676,0.000621117173239538
0.3,0.27,90,3,"gaussian",1000,0.29322523895461,0.268570305429771,0.0232252389546103,0.0843280744926425,-0.00142969457022895,0.0839068057932693,0.998,1000,0,"Gaussian",0.998939064447259,0.000939064447258664
0.3,0.3,90,3,"gaussian",1000,0.317150656571555,0.293330330638005,0.0171506565715554,0.0807441918073766,-0.00666966936199508,0.0819260360422007,1,1000,0,"Gaussian",0.999685711270509,0.000314288729490575
0.3,0.03,120,3,"gaussian",1000,0.0533793523695477,0.0288977838963463,0.0233793523695477,0.0417187134286093,-0.00110221610365374,0.0354629601287052,0.321,1000,0,"Gaussian",0.312696715476406,0.00830328452359408
0.3,0.06,120,3,"gaussian",1000,0.0830922550991997,0.0593791237655582,0.0230922550991997,0.0485101432378144,-0.000620876234441819,0.0437689560585212,0.62,1000,0,"Gaussian",0.611332846036309,0.00866715396369055
0.3,0.09,120,3,"gaussian",1000,0.111047160547007,0.0880570009059811,0.0210471605470069,0.0542166944148955,-0.00194299909401889,0.0512936603088867,0.81,1000,0,"Gaussian",0.81175205445384,0.00175205445383986
0.3,0.12,120,3,"gaussian",1000,0.138917776930462,0.116648409092457,0.0189177769304624,0.0606484222400245,-0.00335159090754302,0.0592076429447717,0.924,1000,0,"Gaussian",0.922855413493736,0.00114458650626359
0.3,0.15,120,3,"gaussian",1000,0.167819498994227,0.146297589485456,0.0178194989942266,0.0627629380530927,-0.00370241051454353,0.0618474643101313,0.976,1000,0,"Gaussian",0.974298821442661,0.00170117855733931
